Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"FALLS CHURCH, VA",University of the Potomac-VA Campus,Four,Private For-Profit,Suburban,Small,93%,,$35k
"WASHINGTON, DC",University of the Potomac-Washington DC Campus,Four,Private For-Profit,City,Small,66%,$19k,$35k
"NORMAN, OK",Moore Norman Technology Center,Certificate,Public,Rural,Small,79%,,$34k
"MANSFIELD, OH",Madison Adult Career Center,Certificate,Public,Suburban,Small,78%,$9k,$31k
"SARASOTA, FL",New College of Florida,Four,Public,City,Small,66%,$5k,$48k
"NASHVILLE, TN",Fisk University,Four,Private Nonprofit,City,Small,48%,$26k,$45k
"RANCHO CUCAMONGA, CA",Chaffey College,Two,Public,Suburban,Medium,28%,$6k,$43k
"ORLANDO, FL",Valencia College,Two,Public,City,Large,44%,$10k,$41k
"DUBLIN, VA",New River Community College,Two,Public,Town,Small,28%,$6k,$40k
"PARAGOULD, AR",Crowley's Ridge College,Four,Private Nonprofit,Rural,Small,30%,$17k,$40k
"REDDING, CA",Shasta College,Two,Public,Suburban,Medium,24%,$4k,$39k
"WACO, TX",McLennan Community College,Two,Public,City,Medium,24%,$6k,$39k
"TONKAWA, OK",Northern Oklahoma College,Two,Public,Rural,Small,36%,$8k,$38k
"INDIANAPOLIS, IN",Ivy Tech Community College,Certificate,Public,City,Large,26%,$7k,$37k
"ALBEMARLE, NC",Stanly Community College,Certificate,Public,Town,Small,36%,$4k,$37k
"ELIZABETHTOWN, KY",Elizabethtown Community and Technical College,Certificate,Public,City,Medium,33%,$6k,$36k
"WACO, GA",West Georgia Technical College,Certificate,Public,Rural,Medium,36%,$2k,$35k
"ZANESVILLE, OH",Zane State College,Two,Public,Town,Small,30%,$7k,$35k
"COACHELLA, CA",CET-Coachella,Certificate,Private Nonprofit,Suburban,Small,71%,$11k,$33k
"COLTON, CA",CET-Colton,Certificate,Private Nonprofit,Suburban,Small,61%,$16k,$33k
"EL CENTRO, CA",CET-El Centro,Certificate,Private Nonprofit,City,Small,86%,$19k,$33k
"ALTON, IL",CALC Institute of Technology,Certificate,Private For-Profit,Suburban,Small,,,$32k
"LEHI, UT",Mountainland Technical College,Certificate,Public,City,Medium,72%,,$32k
"MIAMI LAKES, FL",Advance Science International College,Two,Private For-Profit,Suburban,Small,73%,$31k,$24k
"NEW YORK, NY",Marymount Manhattan College,Four,Private Nonprofit,City,Small,57%,$37k,$49k
"MILWAUKEE, WI",Milwaukee Area Technical College,Certificate,Public,City,Medium,30%,$10k,$41k
"SPRINGFIELD, MO",Mission University,Four,Private Nonprofit,City,Small,30%,$22k,$39k
"NORFOLK, VA",Tidewater Community College,Two,Public,City,Medium,21%,$8k,$38k
"WEST LAFAYETTE, IN",Purdue University Global,Certificate,Public,City,Large,28%,$12k,$37k
"JACKSON, TN",Jackson State Community College,Two,Public,City,Medium,27%,$7k,$35k
"MINNEAPOLIS, MN",Aveda Arts & Sciences Institute Minneapolis,Certificate,Private For-Profit,City,Small,61%,$21k,$35k
"HOUSTON, TX",College of Health Care Professions,Certificate,Private For-Profit,City,Small,97%,$29k,$33k
"FORT WORTH, TX",The College of Health Care Professions-Fort Worth,Certificate,Private For-Profit,City,Small,83%,$26k,$33k
"MCALLEN, TX",The College of Health Care Professions-McAllen Campus,Certificate,Private For-Profit,City,Small,82%,$25k,$33k
"HOUSTON, TX",The College of Health Care Professions-Northwest,Certificate,Private For-Profit,City,Medium,72%,$26k,$33k
"MARION, NC",McDowell Technical Community College,Certificate,Public,Rural,Small,35%,$7k,$33k
"EL PASO, TX",CET-El Paso,Certificate,Private Nonprofit,City,Small,53%,$19k,$33k
"OXNARD, CA",CET-Oxnard,Certificate,Private Nonprofit,City,Small,60%,$10k,$33k
"SALINAS, CA",CET-Salinas,Certificate,Private Nonprofit,City,Small,64%,$7k,$33k
"SAN DIEGO, CA",CET-San Diego,Certificate,Private Nonprofit,City,Small,83%,$20k,$33k
"SAN JOSE, CA",CET-San Jose,Certificate,Private Nonprofit,City,Small,65%,$15k,$33k
"SANTA MARIA, CA",CET-Santa Maria,Certificate,Private Nonprofit,City,Small,42%,$3k,$33k
"SOLEDAD, CA",CET-Soledad,Certificate,Private Nonprofit,Town,Small,85%,$10k,$33k
"WATSONVILLE, CA",CET-Watsonville,Certificate,Private Nonprofit,City,Small,69%,$2k,$33k
"PASADENA, CA",Pasadena City College,Two,Public,City,Large,33%,$3k,$44k
"LONG ISLAND CITY, NY",New York School for Medical and Dental Assistants,Certificate,Private For-Profit,City,Small,74%,$16k,$39k
"COOS BAY, OR",Southwestern Oregon Community College,Two,Public,Town,Small,35%,$9k,$38k
"HOPKINSVILLE, KY",Hopkinsville Community College,Certificate,Public,Town,Small,30%,$4k,$36k
"BOAZ, AL",Snead State Community College,Certificate,Public,Town,Small,34%,$6k,$36k
"PENSACOLA, FL",George Stone Technical College,Certificate,Public,Suburban,Small,52%,$9k,$35k
"NEW BERN, NC",Craven Community College,Two,Public,Town,Small,34%,$4k,$34k
"WEST MIFFLIN, PA",All-State Career School-Pittsburgh,Certificate,Private For-Profit,Suburban,Small,57%,$13k,$33k
"BALTIMORE, MD",All-State Career-Baltimore,Certificate,Private For-Profit,City,Small,50%,$20k,$33k
"HOUSTON, TX",Fortis College,Certificate,Private For-Profit,City,Small,69%,$28k,$33k
"HOUSTON, TX",Fortis Institute,Certificate,Private For-Profit,City,Small,60%,$15k,$33k
"SAN ANTONIO, TX",The College of Health Care Professions-San Antonio,Certificate,Private For-Profit,City,Small,82%,$26k,$33k
"SAN ANTONIO, TX",The College of Health Care Professions-South San Antonio,Certificate,Private For-Profit,City,Small,71%,$27k,$33k
"HOUSTON, TX",The College of Health Care Professions-Southwest Houston,Certificate,Private For-Profit,City,Small,76%,$27k,$33k
"LAS VEGAS, NV",Euphoria Institute of Beauty Arts & Sciences-Summerlin,Certificate,Private For-Profit,City,Small,68%,$29k,$32k
"MARIETTA, GA",Lincoln College of Technology-Marietta,Certificate,Private For-Profit,Suburban,Small,66%,$30k,$32k
"ISELIN, NJ",Lincoln Technical Institute-Iselin,Certificate,Private For-Profit,Suburban,Small,50%,$40k,$32k
"LINCOLN, RI",Lincoln Technical Institute-Lincoln,Certificate,Private For-Profit,Suburban,Small,63%,$31k,$32k
"MOORESTOWN, NJ",Lincoln Technical Institute-Moorestown,Certificate,Private For-Profit,Suburban,Small,53%,$39k,$32k
"PARAMUS, NJ",Lincoln Technical Institute-Paramus,Certificate,Private For-Profit,Suburban,Small,53%,$40k,$32k
"BALTIMORE, MD",Maryland Institute College of Art,Four,Private Nonprofit,City,Small,75%,$38k,$45k
"THE WOODLANDS, TX",Lone Star College System,Two,Public,City,Large,18%,$9k,$42k
"LOS ANGELES, CA",California College of ASU,Four,Private Nonprofit,City,Small,53%,$30k,$42k
"BOTTINEAU, ND",Dakota College at Bottineau,Two,Public,Rural,Small,31%,$13k,$41k
"MINNEAPOLIS, MN",Minneapolis Community and Technical College,Two,Public,City,Medium,25%,$13k,$40k
"PROVO, UT",Provo College,Four,Private For-Profit,City,Small,66%,$30k,$40k
"IDAHO FALLS, ID",Provo College-Idaho Falls Campus,Certificate,Private For-Profit,City,Small,,$31k,$40k
"MILLEDGEVILLE, GA",Georgia Military College,Two,Public,Town,Medium,27%,$15k,$39k
"GRANITEVILLE, SC",Aiken Technical College,Certificate,Public,Suburban,Small,24%,$5k,$39k
"READING, PA",Reading Area Community College,Two,Public,City,Medium,20%,$8k,$39k
"CORPUS CHRISTI, TX",Del Mar College,Two,Public,City,Medium,24%,$4k,$39k
"ATHENS, TX",Trinity Valley Community College,Two,Public,Town,Medium,27%,$4k,$39k
"KALISPELL, MT",Flathead Valley Community College,Two,Public,Town,Small,34%,$9k,$39k
"FREEPORT, IL",Highland Community College,Certificate,Public,Rural,Small,33%,$5k,$38k
"MELBOURNE, FL",Eastern Florida State College,Two,Public,City,Medium,46%,$6k,$37k
"POWELL, WY",Northwest College,Two,Public,Town,Small,40%,$7k,$37k
"ALBUQUERQUE, NM",Central New Mexico Community College,Certificate,Public,City,Large,32%,$3k,$37k
"LIVINGSTON, TN",Tennessee College of Applied Technology-Livingston,Certificate,Public,Rural,Small,72%,$12k,$33k
"VAN NUYS, CA",North-West College-Van Nuys,Certificate,Private For-Profit,City,Small,60%,$33k,$32k
"EUGENE, OR",New Hope Christian College-Eugene,Four,Private Nonprofit,City,Small,35%,$20k,$31k
"MAYAGUEZ, PR",University of Puerto Rico-Mayaguez,Four,Public,City,Medium,62%,$13k,$49k
"SACRAMENTO, CA",Sacramento City College,Two,Public,City,Large,19%,$4k,$42k
"CHICAGO, IL",Columbia College Chicago,Four,Private Nonprofit,City,Medium,55%,$27k,$42k
"WYOMING, MI",Grace Christian University,Four,Private Nonprofit,City,Small,30%,$14k,$42k
"SOUTHFIELD, MI",Northwestern Technological Institute,Certificate,Private For-Profit,City,Small,75%,$31k,$41k
"NORWALK, CA",Cerritos College,Certificate,Public,Suburban,Large,30%,$693,$41k
"ARLINGTON, TX",CCI Training Center-Arlington,Certificate,Private For-Profit,City,Small,76%,$13k,$41k
"JEFFERSON CITY, MO",Lincoln University,Four,Public,City,Small,30%,$12k,$39k
"DECATUR, IL",Richland Community College,Certificate,Public,City,Small,25%,$5k,$39k
"TEMPE, AZ",Conservatory of Recording Arts and Sciences,Certificate,Private For-Profit,City,Small,57%,$22k,$37k
"MARIANNA, FL",Chipola College,Two,Public,Town,Small,50%,$832,$37k
"PENSACOLA, FL",Pensacola State College,Two,Public,City,Medium,37%,$2k,$37k
"CARTHAGE, TX",Panola College,Two,Public,Town,Small,32%,$7k,$36k
"ALTAMONTE SPRINGS, FL",City College-Altamonte Springs,Two,Private For-Profit,Suburban,Small,45%,$32k,$36k
"NEOSHO, MO",Crowder College,Two,Public,Town,Medium,34%,$5k,$36k
"SEMINOLE, OK",Seminole State College,Two,Public,Town,Small,34%,$15k,$35k
"STILLWATER, OK",Meridian Technology Center,Certificate,Public,Town,Small,53%,$4k,$34k
"MIAMI, FL",South Florida Institute of Technology,Certificate,Private For-Profit,City,Medium,78%,$30k,$29k
"TURNERSVILLE, NJ",ASI Career Institute,Certificate,Private For-Profit,Suburban,Small,96%,$11k,
"CANAL WINCHESTER, OH",Valor Christian College,Two,Private Nonprofit,City,Small,45%,$26k,
"SAN LUIS OBISPO, CA",Central California School of Continuing Education,Certificate,Private For-Profit,City,Small,87%,$14k,$41k
"BLACKWOOD, NJ",Camden County College,Two,Public,Suburban,Medium,25%,$5k,$41k
"UKIAH, CA",Mendocino College,Two,Public,Rural,Medium,19%,$8k,$40k
"MALTA, IL",Kishwaukee College,Certificate,Public,Rural,Small,35%,$6k,$40k
"SPRINGFIELD, OH",Clark State College,Certificate,Public,City,Medium,30%,$9k,$40k
"HILLSBORO, TX",Hill College,Two,Public,Town,Medium,24%,$7k,$40k
"NORTH WALES, PA",Lansdale School of Business,Certificate,Private For-Profit,Suburban,Small,65%,$25k,$37k
"HARRISON, MI",Mid Michigan College,Two,Public,Rural,Medium,27%,$10k,$37k
"GRAND PRAIRIE, TX",Arlington Career Institute,Certificate,Private For-Profit,Suburban,Small,76%,$24k,$37k
"FLAT ROCK, NC",Blue Ridge Community College,Certificate,Public,Suburban,Small,40%,$9k,$36k
"HARRISON, AR",North Arkansas College,Certificate,Public,Town,Small,40%,$10k,$35k
"MORRIS PLAINS, NJ",Artistic Academy of Hair Design,Certificate,Private For-Profit,Suburban,Small,91%,$24k,$34k
"BOWLING GREEN, KY",Southcentral Kentucky Community and Technical College,Certificate,Public,City,Medium,41%,$4k,$34k
"HOBBS, NM",New Mexico Junior College,Two,Public,Town,Medium,22%,$6k,$34k
"DALLAS, TX",PCI Health Training Center,Certificate,Private For-Profit,City,Small,91%,$18k,$34k
"BOONEVILLE, MS",Northeast Mississippi Community College,Two,Public,Town,Medium,35%,$9k,$34k
"HOLLYWOOD, FL",Sheridan Technical College,Certificate,Public,Suburban,Small,69%,$9k,$33k
"ABINGDON, VA",Virginia Highlands Community College,Certificate,Public,Suburban,Small,30%,$5k,$33k
"WENTWORTH, NC",Rockingham Community College,Two,Public,Rural,Small,33%,$2k,$32k
"LAS VEGAS, NV",Las Vegas College,Certificate,Private For-Profit,Suburban,Small,57%,$29k,$31k
"WARWICK, RI",Community College of Rhode Island,Two,Public,City,Medium,24%,$5k,$43k
"BRONX, NY",CUNY Bronx Community College,Two,Public,City,Medium,28%,$4k,$41k
"MARYSVILLE, CA",Yuba College,Two,Public,Suburban,Medium,26%,$4k,$40k
"HOUSTON, TX",Texas Southern University,Four,Public,City,Medium,34%,$20k,$39k
"WILMINGTON, NC",Cape Fear Community College,Two,Public,City,Medium,38%,$5k,$39k
"CHARLOTTE, NC",Central Piedmont Community College,Two,Public,City,Medium,23%,$4k,$38k
"HOLYOKE, MA",Holyoke Community College,Two,Public,Rural,Medium,26%,$7k,$37k
"KNOXVILLE, TN",Tennessee College of Applied Technology-Knoxville,Certificate,Public,City,Small,68%,$8k,$37k
"LANDOVER, MD",Fortis College-Landover,Certificate,Private For-Profit,Suburban,Small,68%,$27k,$37k
"LAWRENCEVILLE, NJ",Fortis Institute-Lawrenceville,Certificate,Private For-Profit,Suburban,Small,38%,$18k,$37k
"WAYNE, NJ",Fortis Institute-Wayne,Certificate,Private For-Profit,Suburban,Small,49%,$22k,$37k
"LYNCHBURG, VA",Central Virginia Community College,Certificate,Public,City,Medium,28%,$6k,$37k
"PHENIX CITY, AL",Chattahoochee Valley Community College,Certificate,Public,Suburban,Small,25%,$6k,$36k
"SAINT PETERSBURG, FL",Pinellas Technical College-St. Petersburg,Certificate,Public,City,Small,51%,$18k,$36k
"DYERSBURG, TN",Dyersburg State Community College,Certificate,Public,Town,Small,28%,$4k,$36k
"GRAYLING, MI",Kirtland Community College,Two,Public,Rural,Small,22%,$10k,$36k
"CHALMETTE, LA",Nunez Community College,Certificate,Public,Suburban,Small,32%,$10k,$35k
"GOLDSBORO, NC",Wayne Community College,Certificate,Public,City,Small,39%,$4k,$34k
"WHEELING, WV",West Virginia Northern Community College,Two,Public,City,Small,34%,$3k,$30k
"LANCASTER, CA",High Desert Medical College,Certificate,Private For-Profit,Suburban,Small,75%,$28k,
"CHARLES TOWN, WV",American Public University System,Four,Private For-Profit,Town,Large,22%,$9k,$44k
"GLENDALE, CA",Glendale Community College,Two,Public,City,Medium,27%,$7k,$42k
"RICHMOND, VA",J Sargeant Reynolds Community College,Two,Public,Suburban,Medium,20%,$5k,$40k
"ALBANY, NY",Mildred Elley School-Albany Campus,Certificate,Private For-Profit,City,Small,36%,$21k,$39k
"NEW YORK, NY",Mildred Elley-New York Campus,Certificate,Private For-Profit,City,Small,36%,$24k,$39k
"PITTSFIELD, MA",Mildred Elley-Pittsfield Campus,Certificate,Private For-Profit,City,Small,32%,$25k,$39k
"CULVER CITY, CA",West Los Angeles College,Two,Public,Suburban,Medium,19%,$7k,$39k
"SANTA FE, NM",Santa Fe Community College,Certificate,Public,Rural,Medium,29%,$9k,$38k
"TALLAHASSEE, FL",Tallahassee Community College,Two,Public,City,Medium,40%,$8k,$38k
"JACKSON, MI",Jackson College,Two,Public,Rural,Medium,17%,$8k,$37k
"LEXINGTON, KY",Bluegrass Community and Technical College,Certificate,Public,City,Medium,28%,$6k,$36k
"CONWAY, SC",Horry-Georgetown Technical College,Certificate,Public,City,Medium,31%,$4k,$36k
"DALLAS, NC",Gaston College,Certificate,Public,Suburban,Medium,44%,$6k,$35k
"RAINSVILLE, AL",Northeast Alabama Community College,Certificate,Public,Rural,Small,40%,$2k,$35k
"SYLVA, NC",Southwestern Community College,Certificate,Public,Town,Small,40%,$5k,$34k
"BALDWIN PARK, CA",Baldwin Park Adult & Community Education,Certificate,Public,Suburban,Small,54%,$7k,$32k
"STARKE, FL",North Florida Technical College,Certificate,Public,Town,Small,73%,$5k,$32k
"EL RENO, OK",Canadian Valley Technology Center,Certificate,Public,Rural,Small,56%,$10k,$31k
"LAS VEGAS, NV",Northwest Career College,Certificate,Private For-Profit,City,Medium,71%,$15k,$28k
"PANORAMA CITY, CA",National Career College,Certificate,Private For-Profit,City,Small,73%,$18k,$19k
"MORENO VALLEY, CA",Moreno Valley College,Two,Public,Suburban,Medium,23%,$2k,$52k
"AUBURN, ME",Central Maine Community College,Two,Public,City,Medium,34%,$7k,$42k
"TEMPE, AZ",Bryan University,Certificate,Private For-Profit,City,Medium,25%,$21k,$40k
"NASHVILLE, TN",Tennessee College of Applied Technology Nashville,Certificate,Public,City,Small,72%,$9k,$39k
"LAMAR, CO",Lamar Community College,Two,Public,Town,Small,38%,$10k,$39k
"NEW GLOUCESTER, ME",Unity Environmental University,Four,Private Nonprofit,Rural,Medium,55%,$18k,$38k
"MARIETTA, GA",Chattahoochee Technical College,Certificate,Public,Suburban,Medium,29%,$5k,$37k
"MUSKEGON, MI",Muskegon Community College,Two,Public,City,Medium,19%,$5k,$37k
"DRUMRIGHT, OK",Central Technology Center,Certificate,Public,Rural,Small,71%,,$36k
"ATHENS, GA",Athens Technical College,Certificate,Public,City,Medium,38%,$6k,$36k
"GREENWOOD, SC",Piedmont Technical College,Certificate,Public,Town,Medium,31%,$11k,$36k
"TUSCALOOSA, AL",Shelton State Community College,Certificate,Public,City,Medium,23%,$11k,$35k
"MOREHEAD CITY, NC",Carteret Community College,Certificate,Public,Town,Small,39%,$12k,$33k
"SKOKIE, IL",Hebrew Theological College,Four,Private Nonprofit,City,Small,11%,$11k,$33k
"PARAMOUNT, CA",Healthcare Career College,Certificate,Private For-Profit,Suburban,Small,79%,$15k,$33k
"FOREST HILLS, NY",Plaza College,Two,Private For-Profit,City,Small,64%,$18k,$32k
"LAKEWOOD, CA",National Polytechnic College,Two,Private For-Profit,Suburban,Small,74%,$32k,$31k
"CHICAGO, IL",University of Aesthetics & Cosmetology,Certificate,Private For-Profit,City,Small,80%,$17k,$29k
"BLOOMINGTON, MN",Bethany Global University,Four,Private Nonprofit,City,Small,73%,$21k,
"ORLANDO, FL",Florida Institute of Recording Sound and Technology,Certificate,Private For-Profit,Suburban,Small,,,
"EL CAJON, CA",Grossmont College,Two,Public,Suburban,Medium,28%,$3k,$40k
"RIO GRANDE, OH",Buckeye Hills Career Center,Certificate,Public,Rural,Small,81%,$12k,$40k
"SONORA, CA",Columbia College,Two,Public,Rural,Small,23%,$15k,$39k
"CORSICANA, TX",Navarro College,Two,Public,Town,Medium,25%,$15k,$39k
"WINTER PARK, FL",Full Sail University,Four,Private For-Profit,Suburban,Large,46%,$32k,$38k
"LAS VEGAS, NV",College of Southern Nevada,Two,Public,City,Large,23%,$6k,$38k
"CHICAGO, IL",City Colleges of Chicago-Richard J Daley College,Certificate,Public,City,Medium,26%,$3k,$38k
"MERCED, CA",Merced College,Two,Public,City,Medium,30%,$4k,$38k
"BOLIVIA, NC",Brunswick Community College,Two,Public,Rural,Small,37%,$9k,$37k
"CAMDEN, AR",Southern Arkansas University Tech,Certificate,Public,Rural,Small,42%,$6k,$36k
"HENDERSON, KY",Henderson Community College,Certificate,Public,Rural,Small,28%,$5k,$36k
"CROSSVILLE, TN",Tennessee College of Applied Technology-Crossville,Certificate,Public,Town,Small,82%,$11k,$36k
"EL DORADO HILLS, CA",SUM Bible College and Theological Seminary,Four,Private Nonprofit,Suburban,Small,31%,$21k,$35k
"ROCKY MOUNT, NC",Nash Community College,Two,Public,Rural,Small,26%,$4k,$35k
"CLARKSTON, GA",Georgia Piedmont Technical College,Certificate,Public,Suburban,Medium,40%,$7k,$35k
"FREMONT, OH",Vanguard-Sentinel Adult Career and Technology Center,Certificate,Public,Town,Small,67%,,$34k
"WINTER HAVEN, FL",Ridge Technical College,Certificate,Public,City,Small,80%,$23k,$33k
"ASHEBORO, NC",Randolph Community College,Certificate,Public,Town,Small,35%,$7k,$33k
"MADISON, WI",Aveda Institute-Madison,Certificate,Private For-Profit,City,Small,90%,$14k,$32k
"MILWAUKEE, WI",The Institute of Beauty and Wellness,Certificate,Private For-Profit,City,Small,88%,$16k,$32k
"FARMINGTON, ME",University of Maine at Farmington,Four,Public,Rural,Small,58%,$15k,$44k
"CHARLOTTE, NC",Johnson C Smith University,Four,Private Nonprofit,City,Small,44%,$20k,$43k
"SANTA MONICA, CA",Santa Monica College,Two,Public,City,Large,28%,$4k,$42k
"MIAMI, FL",Albizu University-Miami,Four,Private Nonprofit,City,Small,61%,$36k,$42k
"SAN JUAN, PR",Albizu University-San Juan,Four,Private Nonprofit,City,Small,52%,$11k,$42k
"UNIVERSITY CENTER, MI",Delta College,Two,Public,Rural,Medium,23%,$5k,$38k
"EUREKA, CA",College of the Redwoods,Two,Public,Rural,Medium,25%,$3k,$36k
"OCALA, FL",Marion Technical College,Certificate,Public,City,Small,67%,$5k,$36k
"OWENSBORO, KY",Owensboro Community and Technical College,Certificate,Public,Rural,Medium,40%,$5k,$36k
"ORANGEBURG, SC",Orangeburg Calhoun Technical College,Certificate,Public,Town,Small,35%,$6k,$36k
"CHICAGO, IL",St. Augustine College,Two,Private Nonprofit,City,Small,45%,$17k,$36k
"MEDIA, PA",Pennsylvania Institute of Technology,Certificate,Private Nonprofit,Suburban,Small,45%,$17k,$36k
